0,202.5,205,207.5,210,212.5,215,217.5,220,222.5,225,227.5,230,232.5,235,237.5,240,242.5,245,247.5,250,252.5,255,257.5,260,262.5,265,267.5,270,272.5,275,277.5,280,282.5,285,287.5,290,292.5,295,297.5,300,302.5,305,307.5,310,312.5,315,317.5,320,322.5,325,327.5,330,332.5,335,337.5,340,342.5,345,347.5,350,352.5,355,357.5,360,362.5,365,367.5,370,372.5,375,377.5,380,382.5,385,387.5,390,392.5,395,397.5,400,402.5,405,407.5,410,412.5,415,417.5,420,422.5,425,427.5,430,432.5,435,437.5,440,442.5,445,447.5,450,452.5,455,457.5,460,462.5,465,467.5,470,472.5,475,477.5,480,482.5,485,487.5,490,492.5,495,497.5,500,502.5,505,507.5,510,512.5,515,517.5,520,522.5,525,527.5,530,532.5,535,537.5,540,542.5,545,547.5,550,552.5,555,557.5,560,562.5,565,567.5,570,572.5,575,577.5,580,582.5,585,587.5,590,592.5,595,597.5,600,602.5,605,607.5,610,612.5,615,617.5,620,622.5,625,627.5,630,632.5,635,637.5,640,642.5,645,647.5,650,652.5,655,657.5,660,662.5,665,667.5,670,672.5,675,677.5,680,682.5,685,687.5,690,692.5,695,697.5,700,702.5,705,707.5,710,712.5,715,717.5,720,722.5,725,727.5,730,732.5,735,737.5,740,1,2,3,4
1,8.75,217.57,211.41,204.15,195.35,183.99,169,154.57,140.8,128.03,118.65,112.03,104.66,96.68,90.16,85.23,81.66,79.12,76.57,74.14,71.52,69.13,67.22,66,65.47,65.04,64.21,63.21,62.3,61.68,61.18,60.46,59.58,58.73,57.91,56.86,55.53,53.95,52.46,50.93,49.25,47.52,45.83,44.42,43.26,42.33,41.52,41.18,40.59,39.87,39.38,39.3,39.08,38.47,38.21,37.83,37.46,37.14,36.74,36.29,35.95,35.66,35.34,34.97,34.53,34.52,35.01,35.43,35.58,35.52,35.36,34.94,34.7,34.51,34.24,33.89,33.4,32.82,32.35,31.75,31.17,30.52,29.98,29.83,29.57,28.9,28.6,28.23,27.71,27.17,26.54,26.28,26.36,26,25.79,25.48,25.22,25.11,24.8,24.47,24.28,24.13,24.02,23.85,23.38,22.76,22.86,22.78,22.63,22.4,22.09,22.12,22.21,21.67,21.12,20.86,20.8,20.8,20.66,20.73,20.67,20.55,20.27,20.02,19.95,19.81,19.57,19.35,19.3,19.18,19.21,19.09,18.65,18.3,18.32,18.49,18.63,18.26,17.31,17.15,17.53,17.46,17.14,17.21,17.18,17.12,17.04,16.79,16.45,16.22,16.18,16.01,15.63,15.93,15.93,15.88,15.74,15.44,15.32,15.21,15.19,14.95,15,14.78,14.59,14.81,14.98,14.63,14.37,14.61,14.68,14.51,14.32,14.3,14.67,14.1,13.93,13.75,13.52,13.77,13.96,13.75,13.6,13.25,13.22,13.28,13.39,13.73,12.87,12.7,13.43,12.84,12.63,12.99,13.49,12.97,12.25,12.3,12.19,11.92,12.18,12.3,12.05,12.05,11.9,11.75,11.71,11.8,11.81,11.63,11.56,11.54,11.73,10.88,11.15,11.73,86,,365,218
2,10.43,326.37,323.64,320.25,314.88,304.92,291.21,277.32,264.17,252.39,242.72,233.1,219.41,203.87,190.98,181.15,173.95,168.16,162.34,157.24,152.11,147.64,144.4,142.42,140.93,139.56,138.02,136.54,135.17,133.99,132.81,131.39,129.85,128.17,126.24,123.84,121,117.82,114.67,111.41,107.84,104.08,100.57,97.57,95.01,92.85,90.97,89.34,87.8,86.3,84.92,83.9,82.85,81.63,80.67,79.54,78.44,77.52,76.51,75.56,74.68,73.85,73.09,72.36,71.55,71.06,71.28,71.58,71.69,71.6,71.26,70.72,70.3,69.86,69.32,68.76,68.18,67.51,66.73,65.77,64.72,63.65,62.76,62.25,61.53,60.42,59.67,58.95,58.2,57.49,56.71,56.04,55.75,55.27,54.82,54.31,53.72,53.38,53.05,52.29,51.86,51.59,51.33,50.9,50.29,49.7,49.59,49.37,49.05,48.62,48.15,47.97,47.83,47.2,46.5,46.08,45.91,45.72,45.48,45.35,45.06,44.73,44.36,43.95,43.7,43.37,43.05,42.74,42.45,42.11,42.11,41.88,41.42,40.89,40.7,40.81,40.76,40.19,39.21,38.95,39.14,38.9,38.53,38.48,38.41,38.37,37.94,37.43,37.13,36.95,36.78,36.46,36.21,36.23,35.81,35.87,35.67,35.41,35.27,35.06,34.96,34.72,34.56,34.21,34.01,34.04,33.94,33.47,33.7,33.6,33.41,33.11,32.54,32.5,32.83,32.59,32.54,32.04,31.54,31.87,31.86,31.31,31.07,30.94,30.97,31.09,31.01,31.07,30.45,30.03,30.37,29.82,29.84,30.02,30.07,29.81,29.35,29,28.86,28.86,29.04,28.98,28.4,28.37,28.39,28.12,28.24,28.34,28.17,28.04,27.74,27.63,27.49,26.97,27.46,27.67,151.5,,442,192
3,10.18,302.66,298.51,291.51,281.65,270.98,255.87,241.61,229.62,219.02,211.08,204.06,194.01,182.12,171.55,162.95,156.21,150.4,144.59,139.28,133.74,128.95,125.57,123.61,122.46,121.57,120.51,119.5,118.64,117.92,117.33,116.65,115.74,114.63,113.26,111.41,109,106.16,103.19,99.92,96.32,92.65,89.31,86.45,84.12,82.36,80.93,79.69,78.3,76.97,75.75,74.85,73.96,72.74,71.72,70.77,69.87,69.05,68.17,67.28,66.61,66.02,65.41,64.69,63.86,63.41,63.58,63.69,63.72,63.56,63,62.24,61.76,61.27,60.53,59.87,59.11,58.22,57.43,56.48,55.48,54.49,53.61,53.05,52.35,51.43,50.68,50.01,49.36,48.72,47.86,47.28,47.22,46.69,46.25,45.86,45.44,45.12,44.79,44.28,43.97,43.72,43.5,43.2,42.58,42.02,42.02,41.79,41.46,41.28,40.85,40.48,40.47,39.99,39.25,38.82,38.7,38.65,38.32,38.08,38.02,37.77,37.45,37.18,36.91,36.65,36.46,36.18,36.05,35.76,35.76,35.6,35.02,34.65,34.6,34.66,34.59,34.14,33.26,32.94,33.07,32.91,32.61,32.67,32.47,32.48,32.3,31.65,31.43,31.33,31.2,30.84,30.53,30.44,30.39,30.67,30.24,29.84,29.85,29.63,29.48,29.36,29.16,28.85,28.69,28.77,28.62,28.01,28.32,28.36,28.16,27.98,27.5,27.34,27.72,27.34,27.23,27.03,26.52,26.73,26.93,26.47,26.15,26.2,26.03,25.93,25.89,25.99,25.6,25.26,25.57,25.17,24.88,24.93,25.14,25.07,24.5,24.36,24.11,23.71,24.33,24.26,23.43,23.4,23.56,23.03,22.79,23.26,23.42,23.37,23.28,22.93,22.79,22.32,22.59,22.82,120.5,,408,178
4,10.6,320.74,315.27,308.05,299.41,289.87,276.94,265.11,255.22,245.63,237.55,229.08,216.03,200.87,188.57,179.73,173.61,168.97,164.23,159.88,155.33,151.23,148.12,146.12,144.45,142.68,140.65,138.67,136.89,135.32,133.82,132.19,130.42,128.53,126.55,124.15,121.48,118.67,115.94,113.19,110.32,107.33,104.5,102.05,99.93,98.15,96.55,95.23,93.83,92.39,91.15,90.3,89.16,87.83,86.82,85.65,84.53,83.51,82.37,81.31,80.37,79.51,78.68,77.82,76.88,76.38,76.51,76.6,76.58,76.41,75.82,75.09,74.57,74.07,73.37,72.59,71.76,70.93,70.13,69.1,68.04,66.99,66,65.36,64.64,63.53,62.7,61.98,61.21,60.55,59.59,58.86,58.67,58.02,57.57,57.05,56.47,56.09,55.63,55.04,54.62,54.3,53.96,53.62,52.89,52.16,52.24,51.94,51.59,51.29,50.74,50.44,50.38,49.71,48.99,48.55,48.2,48.15,47.92,47.71,47.5,47.3,46.86,46.34,46.09,45.81,45.39,45.12,44.91,44.5,44.43,44.18,43.57,43.05,42.93,43.03,42.87,42.32,41.53,41.26,41.27,41.16,40.94,40.8,40.62,40.5,40.2,39.63,39.33,39.13,39,38.72,38.22,38.17,38.13,38.17,37.84,37.29,37.19,37.04,36.88,36.65,36.44,36.17,35.96,36.05,35.81,35.22,35.45,35.55,35.28,35,34.77,34.48,34.42,34.34,34.41,33.87,33.32,33.63,33.8,33.09,33.04,33.15,32.77,32.8,32.83,32.58,31.89,32.05,32.41,31.47,31.69,31.94,31.76,31.6,31.06,30.57,30.28,30.49,30.76,30.49,29.98,30.07,30.03,29.33,29.5,29.93,29.62,29.57,29.53,29.22,28.93,28.9,29.33,29.05,254,,640,195
5,10.62,308.46,301.66,294.27,284.87,273.85,261.8,251.19,242.08,233.98,227.4,219.93,208.7,195.19,183.64,175.07,168.91,164.09,159.26,154.78,150.02,145.98,143.08,141.14,139.61,138.23,136.67,135.12,133.64,132.33,131.19,129.81,128.27,126.65,124.84,122.67,120.09,117.27,114.53,111.71,108.65,105.45,102.52,100.03,97.81,95.95,94.39,93.05,91.65,90.25,88.94,87.94,86.89,85.5,84.48,83.5,82.43,81.42,80.38,79.32,78.41,77.55,76.64,75.79,74.82,74.37,74.5,74.28,74.1,73.76,73.06,72.25,71.89,71.4,70.71,70.01,69.25,68.59,67.8,66.77,65.89,65.02,64.1,63.5,63.03,62.08,61.32,60.74,60.11,59.42,58.53,57.87,57.57,56.97,56.5,55.95,55.36,55.02,54.6,54.03,53.56,53.19,52.86,52.48,51.75,50.94,51.01,50.71,50.27,49.98,49.48,49.12,48.93,48.41,47.72,47.1,46.81,46.92,46.63,46.31,46.11,45.81,45.29,44.83,44.65,44.31,43.95,43.66,43.39,43.13,43.07,42.84,42.2,41.79,41.71,41.73,41.58,41.01,40.14,39.86,39.83,39.7,39.5,39.36,39.1,38.93,38.8,38.25,37.93,37.69,37.58,37.17,36.65,36.7,36.58,36.57,36.23,35.79,35.68,35.52,35.4,35.14,35.04,34.72,34.44,34.34,34.21,33.64,33.85,33.8,33.53,33.54,33.04,32.61,32.76,32.34,32.15,31.93,31.49,31.58,31.53,31.27,31.11,30.96,31.02,31.07,30.76,30.7,30.33,29.86,30.2,29.81,30,29.98,29.92,29.72,29.07,28.66,28.51,28.28,28.31,28.37,28.09,27.91,27.84,27.73,27.67,27.48,27.24,27.29,27.11,27,27.01,26.6,26.66,26.96,196.5,,492,155
7,10.29,312.71,304.92,300.07,294.12,281.87,267.34,254.72,242.91,233.1,225.42,217.34,206,192.89,181.6,172.53,165.81,160.12,154.12,148.64,142.9,138.09,134.55,132.33,130.91,129.6,128.14,126.66,125.43,124.41,123.37,122.23,120.94,119.5,117.94,115.72,113.02,110.09,106.97,103.7,100.15,96.39,92.78,89.87,87.46,85.47,83.89,82.71,81.34,80.15,78.99,78.1,77.25,76.26,75.31,74.32,73.4,72.43,71.39,70.47,69.72,68.89,68.09,67.35,66.42,65.93,65.99,65.88,65.77,65.57,64.98,64.26,64.09,63.49,62.78,62.25,61.45,60.53,59.92,59.02,57.93,57.03,56.15,55.57,55.06,54.13,53.48,52.79,52.11,51.39,50.45,49.92,49.68,49.09,48.63,48.17,47.65,47.34,46.99,46.35,45.89,45.59,45.38,44.96,44.36,43.77,43.76,43.44,43.04,42.72,42.34,42.3,42.27,41.44,40.67,40.44,40.29,40.01,39.87,39.85,39.57,39.31,38.99,38.48,38.15,38.19,37.8,37.42,37.2,36.98,36.94,36.7,36.09,35.64,35.63,35.73,35.58,34.97,34.14,33.78,33.84,33.88,33.69,33.61,33.28,33.02,33.11,32.66,32.2,31.87,31.72,31.6,31.16,31.14,31.01,31.14,30.82,30.56,30.51,30.04,29.92,30,29.75,29.39,29.21,29.11,29.16,28.91,28.8,28.82,28.8,28.57,28.11,28.12,28.22,28.29,28.22,27.58,27.1,27.32,27.76,27.05,26.57,26.78,26.53,26.71,26.73,26.64,26.43,26.04,25.87,25.49,25.36,25.68,25.94,25.44,25.04,25.15,24.73,24.22,24.8,24.77,24,23.83,23.96,23.5,23.63,24.11,23.68,23.43,23.48,23,22.64,22.69,23.23,23.25,143.5,,444,211
8,10.64,324.43,317.48,313.33,307.99,297.46,284.55,272.38,261.98,252.04,242.81,233.02,218.79,202.59,189.64,180.71,174.73,170.09,165.5,161.31,156.99,153.05,150.07,148.15,146.38,144.65,142.73,140.62,138.84,137.54,136.12,134.6,133.24,131.68,130.04,128.28,126.2,123.99,121.97,119.83,117.23,114.7,112.28,110.06,108.23,106.71,105.15,103.93,102.7,101.35,100.08,99.09,98.02,96.59,95.43,94.16,92.76,91.46,90.31,89.12,87.9,86.82,85.88,84.71,83.63,82.9,82.51,82.14,81.92,81.38,80.61,80.06,79.33,78.71,78.17,77.44,76.65,75.69,74.71,73.76,72.73,71.62,70.71,70.14,69.54,68.39,67.73,67.05,66.27,65.54,64.62,64.01,63.74,63.12,62.72,62.18,61.59,61.19,60.85,60.14,59.59,59.23,58.89,58.38,57.91,57.26,57.13,56.8,56.4,56,55.56,55.37,55.2,54.48,53.62,53.26,53.19,52.85,52.58,52.57,52.22,51.75,51.41,50.96,50.7,50.62,50.23,49.8,49.59,49.36,49.2,48.94,48.45,47.95,47.72,47.92,47.87,47.19,46.24,45.93,46.09,45.78,45.52,45.68,45.24,44.95,45.06,44.38,43.84,43.75,43.52,43.16,43.15,42.87,42.37,42.57,42.39,42.02,42.2,41.62,41.12,41.2,40.8,40.48,40.13,40.24,40.39,39.87,39.96,39.73,39.61,39.54,38.85,38.61,39.03,38.64,38.23,38.21,37.86,37.82,37.87,37.52,37.14,37.05,36.88,37.05,37.04,37.04,36.4,36.37,36.06,35.98,35.93,35.6,35.84,35.5,34.72,35.13,34.81,34.12,34.68,34.15,33.56,33.57,33.62,33.47,33.35,33.53,33.2,33.35,33.46,32.75,32.62,32.59,32.42,32.66,138,,633,361
9,9.15,211.54,200.72,190.19,178.69,165.59,150.61,136.11,122.71,110.2,100.61,93.85,86.55,78.68,72.44,68.22,65.39,63.47,61.64,59.91,58.02,56.54,55.39,54.49,54.08,53.99,53.53,52.88,52.43,52.2,51.98,51.48,50.83,50.16,49.33,48.42,47.33,46.14,44.98,43.86,42.61,41.27,40.1,39.03,38.03,37.22,36.42,35.87,35.34,34.77,34.17,33.91,33.8,33.19,32.84,32.53,32.16,31.73,31.19,30.78,30.45,30.17,29.85,29.58,29,28.83,29.51,29.75,29.92,29.96,29.71,29.35,29.23,29.07,28.8,28.46,27.97,27.58,27.1,26.47,25.96,25.31,24.63,24.6,24.36,23.68,23.3,22.88,22.44,21.98,21.36,21.03,21.13,20.86,20.65,20.43,20.05,19.96,19.78,19.34,19.27,19.21,19.1,18.94,18.39,18.02,18.16,18.07,18.07,17.88,17.52,17.68,17.88,17.35,16.59,16.3,16.42,16.5,16.32,16.4,16.38,16.29,16.09,15.73,15.64,15.69,15.56,15.31,15.2,15.2,15.46,15.09,14.57,14.41,14.56,14.74,14.6,14.22,13.58,13.54,13.67,13.48,13.37,13.54,13.47,13.26,13.37,13.17,12.93,12.76,12.62,12.41,12.23,12.32,12.27,12.45,12.43,12.18,12.1,11.74,11.76,11.95,11.74,11.65,11.21,11.11,11.49,11.07,11.07,11.29,11.26,11.1,10.76,10.76,11.13,11.06,11.1,10.43,10.15,10.46,10.9,10.76,10.43,10.49,10.4,10.53,10.54,10.58,10.23,10.15,10.38,9.91,10.01,10.15,10.58,10.3,9.6,9.45,9.29,9.23,9.66,9.57,8.98,8.98,9.32,9.15,8.99,9.31,9.21,8.96,8.91,8.89,8.67,8.41,8.64,8.98,61,,375,296
10,10.85,326.72,323.34,319.08,312.08,302.94,290.37,277.73,266.2,255.82,247.17,237.84,224.2,208.35,195.42,186.2,179.52,174.26,169.05,164.32,159.71,155.41,152.08,149.99,148.44,146.83,145.35,143.86,142.5,141.65,140.73,139.72,138.49,137.16,135.63,133.73,131.42,128.92,126.37,123.53,120.58,117.6,114.68,112.23,110.27,108.36,106.52,105.29,103.94,102.32,100.73,99.63,98.26,96.7,95.42,93.92,92.51,91.17,89.77,88.52,87.45,86.48,85.5,84.44,83.25,82.54,82.25,82.1,81.83,81.35,80.88,80.05,79.24,78.75,78.19,77.32,76.44,75.58,74.57,73.51,72.41,71.35,70.31,69.77,69.17,68.06,67.27,66.48,65.73,64.96,64.03,63.31,62.84,62.36,61.91,61.18,60.5,60.17,59.52,58.77,58.47,58.02,57.62,57.16,56.4,55.55,55.51,55.23,54.82,54.43,53.83,53.63,53.51,52.83,51.91,51.43,51.29,51.07,50.58,50.44,50.25,49.85,49.42,49.07,48.73,48.58,48.11,47.67,47.5,47.09,46.93,46.51,45.98,45.47,45.26,45.26,44.98,44.41,43.65,43.23,43.16,43.19,42.82,42.64,42.44,42.04,41.96,41.54,41.16,40.64,40.33,40.16,39.89,39.89,39.81,39.44,39.2,38.89,38.54,38.29,38.25,37.62,37.41,37.39,36.87,36.86,36.92,36.22,36.01,36.28,36.04,35.72,35.31,35.45,35.66,34.95,34.9,34.5,33.72,34.14,34.34,33.81,33.56,33.7,33.58,33.46,32.97,33.16,32.6,32.1,32.61,31.98,31.69,32.09,32.17,31.39,31.08,31.16,30.9,29.87,30.67,30.37,29.3,29.48,30.07,29.35,29.2,29.83,29.3,29.28,28.91,28.68,28.87,28.72,28.99,28.78,150,,583,370
